126.0, 126.0
114.00000000000001, 120.0
60.0, 100.0
72.00000000000001, 93.0
126.0, 99.6
126.0, 104.0
108.0, 104.57142857142857
108.0, 105.0
102.00000000000001, 104.66666666666667
102.00000000000001, 104.4
60.0, 100.36363636363636
66.0, 97.5
90.0, 96.92307692307692
72.00000000000001, 95.14285714285714
90.0, 94.8
120.0, 96.375
120.0, 97.76470588235294
120.0, 99.0
54.0, 96.63157894736842
54.0, 94.5
60.0, 92.85714285714286
78.0, 92.18181818181819
84.00000000000001, 91.82608695652173
114.00000000000001, 92.75
114.00000000000001, 93.6
60.0, 92.3076923076923
120.0, 93.33333333333333
120.0, 94.28571428571429
120.0, 95.17241379310344
120.0, 96.0
120.0, 96.7741935483871
120.0, 97.5
108.0, 97.81818181818181
72.00000000000001, 97.05882352941177
72.00000000000001, 96.34285714285714
54.0, 95.16666666666667
54.0, 94.05405405405405
54.0, 93.0
54.0, 92.0
54.0, 91.05
114.00000000000001, 91.60975609756098
60.0, 90.85714285714286
72.00000000000001, 90.4186046511628
60.0, 89.72727272727273
84.00000000000001, 89.6
78.0, 89.34782608695652
